Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Adrenaline Peak,Oaks Amusement Park,Portland,Oregon,West,2018,3:Newest,45,72,Extreme,Steel,Sit Down,70,1050,66,Yes,3,Gerstlauer Amusement Rides GmbH,45.5079,-122.6908
Adventure Express,Kings Island,Mason,Ohio,Midwest,1991,2:Recent,35,63,Thrill,Steel,Sit Down,47,2963,140,No,0,Arrow Dynamics,39.3601,-84.3099
Afterburn,Carowinds,Charlotte,North Carolina,South,1999,2:Recent,62,113,Extreme,Steel,Inverted,110,2956,167,Yes,6,Bolliger & Mabillard,35.26,-80.8042
Aftershock,Silverwood Theme Park,Athol,Idaho,West,2008,3:Newest,65.6,191.6,Extreme,Steel,Inverted,177,1204,92,Yes,3,Vekoma,47.9224,-116.686
Air Grover,Busch Gardens Tampa,Tampa,Florida,South,2010,3:Newest,22,25,Family,Steel,Sit Down,22.5,628,47,No,0,Zierer,27.9961,-82.582
Alpengeist,Busch Gardens Williamsburg,Williamsburg,Virginia,South,1997,2:Recent,67,195,Extreme,Steel,Inverted,170,3828,190,Yes,6,Bolliger & Mabillard,37.3105,-76.7468
Alpine Bobsled,Great Escape,Queensbury,New York,Northeast,1998,2:Recent,35,64,Thrill,Steel,Bobsled,20,1490,100,No,0,Intamin Amusement Rides,43.341,-73.6859
American Eagle,Six Flags Great America,Gurnee,Illinois,Midwest,1981,2:Recent,66,127,Extreme,Wood,Sit Down,147,4650,143,No,0,Intamin Amusement Rides,42.3751,-87.9397
American Thunder,Six Flags St. Louis,Eureka,Missouri,Midwest,2008,3:Newest,48,82,Thrill,Wood,Sit Down,80,2713,110,No,0,Great Coasters International,38.5128,-90.6306
Anaconda,Kings Dominion,Doswell,Virginia,South,1991,2:Recent,50,128,Extreme,Steel,Sit Down,144,2700,110,Yes,4,Arrow Dynamics,37.8601,-77.4642
Apocalypse the Ride,Six Flags Magic Mountain,Valencia,California,West,2009,3:Newest,50.1,95,Extreme,Wood,Sit Down,87.3,2877,180,No,0,Great Coasters International,34.4658,-118.5538
Apollo's Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,South,1999,2:Recent,73,170,Extreme,Steel,Sit Down,210,4882,135,No,0,Bolliger & Mabillard,37.3105,-76.7468
Apple Zapple,Kings Dominion,Doswell,Virginia,South,2002,3:Newest,35,51.8,Thrill,Steel,Sit Down,49.8,1312.3,87,No,0,Mack Rides GmbH & Co KG,37.8601,-77.4642
Arkansas Twister,Magic Springs Theme and Water Park,Hot Springs,Arkansas,South,1992,2:Recent,50,95,Extreme,Wood,Sit Down,92,3340,123,No,0,Michael Black and Associates,34.6437,-92.9976
Avalanche,Kings Dominion,Doswell,Virginia,South,1988,2:Recent,35,69,Thrill,Steel,Bobsled,12,1906,90,No,0,Mack Rides GmbH & Co KG,37.8601,-77.4642
Back Lot Stunt Coaster,Kings Dominion,Doswell,Virginia,South,2006,3:Newest,40,45.2,Thrill,Steel,Sit Down,31.2,1960,64,No,0,Premier Rides,37.8601,-77.4642
Backlot Stunt Coaster,Kings Island,Mason,Ohio,Midwest,2005,3:Newest,40,45.2,Thrill,Steel,Sit Down,31.2,1960,64,No,0,Premier Rides,39.3601,-84.3099
Banshee,Kings Island,Mason,Ohio,Midwest,2014,3:Newest,68,167,Extreme,Steel,Inverted,150,4124,160,Yes,7,Bolliger & Mabillard,39.3601,-84.3099
Barnstormer,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,South,1996,2:Recent,25,30,Family,Steel,Sit Down,20,NA,60,No,0,Vekoma,28.3937,-81.529
Barnyard Dance,Bengtson's Pumpkin Farm,Homer Glen,Illinois,Midwest,2017,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,41.6292,-87.9309
Barracuda,Jolly Roger Amusement Park,Ocean City,Maryland,South,2019,3:Newest,NA,25,Thrill,Steel,Sit Down,NA,1200,49,No,0,Zierer,38.3505,-75.1289
Bat,Kings Island,Mason,Ohio,Midwest,1993,2:Recent,51,78,Thrill,Steel,Suspended,70,2352,112,No,0,Arrow Dynamics,39.3601,-84.3099
Bat,Lagoon,Farmington,Utah,West,2005,3:Newest,26,48.6,Family,Steel,Inverted,NA,1122.1,90,No,0,Vekoma,40.9691,-111.9073
Batman - The Dark Knight,Six Flags New England,Agawam,Massachusetts,Northeast,2002,3:Newest,55,117.8,Extreme,Steel,Sit Down,110.3,2600,140,Yes,5,Bolliger & Mabillard,42.0695,-72.6148
Batman The Ride,Six Flags Magic Mountain,Valencia,California,West,1994,2:Recent,50,105,Extreme,Steel,Inverted,84.5,2700,120,Yes,5,Bolliger & Mabillard,34.4658,-118.5538
Batman The Ride,Six Flags Discovery Kingdom,Vallejo,California,West,2019,3:Newest,38,120,Extreme,Steel,Wing,55,1019,144,No,0,S&S Sansei Technologies,38.1874,-122.2241
Batman The Ride,Six Flags Over Georgia,Austell,Georgia,South,1997,2:Recent,50,105,Extreme,Steel,Inverted,84.5,2700,120,Yes,5,Bolliger & Mabillard,33.8369,-84.6307
Batman The Ride,Six Flags Great America,Gurnee,Illinois,Midwest,1992,2:Recent,50,100,Extreme,Steel,Inverted,84.5,2700,120,Yes,5,Bolliger & Mabillard,42.3751,-87.9397
Batman The Ride,Six Flags St. Louis,Eureka,Missouri,Midwest,1995,2:Recent,50,105,Extreme,Steel,Inverted,85,2693,120,Yes,5,Bolliger & Mabillard,38.5128,-90.6306
Batman The Ride,Six Flags Great Adventure,Jackson,New Jersey,Northeast,1993,2:Recent,50,105,Extreme,Steel,Inverted,80,2693,90,Yes,5,Bolliger & Mabillard,40.1052,-74.3528
Batman The Ride,Six Flags Over Texas,Arlington,Texas,South,1999,2:Recent,50,105,Extreme,Steel,Inverted,54,2700,120,Yes,5,Bolliger & Mabillard,32.6356,-97.1488
Batman The Ride,Six Flags Fiesta Texas,San Antonio,Texas,South,2015,3:Newest,38,120,Extreme,Steel,Wing,54,1019,144,No,0,S&S Sansei Technologies,29.4684,-98.5289
Batwing,Six Flags America,Upper Marlboro,Maryland,South,2001,3:Newest,50,115,Extreme,Steel,Flying,103,3340,122,Yes,5,Vekoma,38.8162,-76.7861
Bear Trax,Seabreeze,Rochester,New York,Northeast,1997,2:Recent,15,15,Family,Steel,Sit Down,12,380,52,No,0,E&F Miler Industries,43.286,-77.6843
Beast,Kings Island,Mason,Ohio,Midwest,1979,1:Older,64.8,110,Extreme,Wood,Sit Down,141,7359,250,No,0,NA,39.3601,-84.3099
Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,West,1997,2:Recent,67,203,Extreme,Steel,Sit Down,144,4777,160,Yes,2,Togo,36.1737,-115.1065
